Country,Year,Status,LifeExpectancy
Afghanistan,2015,Developing,65.0
Afghanistan,2014,Developing,59.9
Afghanistan,2013,Developing,59.9
Afghanistan,2012,Developing,59.5
Afghanistan,2011,Developing,59.2
Afghanistan,2010,Developing,58.8
Afghanistan,2009,Developing,58.6
Afghanistan,2008,Developing,58.1
Afghanistan,2007,Developing,57.5
Afghanistan,2006,Developing,57.3
Afghanistan,2005,Developing,57.3
Afghanistan,2004,Developing,57.0
Afghanistan,2003,Developing,56.7
Afghanistan,2002,Developing,56.2
Afghanistan,2001,Developing,55.3
Afghanistan,2000,Developing,54.8
Albania,2015,Developing,77.8
Albania,2014,Developing,77.5
Albania,2013,Developing,77.2
Albania,2012,Developing,76.9
Albania,2011,Developing,76.6
Albania,2010,Developing,76.2
Albania,2009,Developing,76.1
Albania,2008,Developing,75.3
Albania,2007,Developing,75.9
Albania,2006,Developing,74.2
Albania,2005,Developing,73.5
Albania,2004,Developing,73.0
Albania,2003,Developing,72.8
Albania,2002,Developing,73.3
Albania,2001,Developing,73.6
Albania,2000,Developing,72.6
Algeria,2014,Developing,75.4
Algeria,2013,Developing,75.3
Algeria,2012,Developing,75.1
Algeria,2011,Developing,74.9
Algeria,2010,Developing,74.7
Algeria,2009,Developing,74.4
Algeria,2008,Developing,74.1
Algeria,2007,Developing,73.8
Algeria,2006,Developing,73.4
Algeria,2005,Developing,72.9
Algeria,2004,Developing,72.3
Angola,2014,Developing,51.7
Angola,2013,Developing,51.1
Angola,2012,Developing,56.0
Angola,2011,Developing,51.0
Angola,2010,Developing,49.6
Angola,2009,Developing,49.1
Angola,2008,Developing,48.7
Angola,2007,Developing,48.2
Argentina,2014,Developing,76.2
Argentina,2013,Developing,76.0
Argentina,2012,Developing,75.9
Argentina,2011,Developing,75.7
Argentina,2010,Developing,75.5
Argentina,2009,Developing,75.6
Argentina,2008,Developing,75.4
Argentina,2007,Developing,74.8
Argentina,2006,Developing,75.2
Argentina,2005,Developing,74.9
Argentina,2004,Developing,74.7
Argentina,2003,Developing,74.1
Argentina,2002,Developing,74.1
Armenia,2014,Developing,74.6
Armenia,2013,Developing,74.4
Armenia,2012,Developing,74.4
Armenia,2011,Developing,73.9
Armenia,2010,Developing,73.5
Armenia,2009,Developing,73.3
Armenia,2008,Developing,73.2
Armenia,2007,Developing,73.5
Armenia,2006,Developing,72.9
Armenia,2005,Developing,73.0
Armenia,2004,Developing,73.0
Armenia,2003,Developing,72.7
Armenia,2002,Developing,72.6
Armenia,2001,Developing,72.6
Armenia,2000,Developing,72.0
Australia,2014,Developed,82.7
Australia,2013,Developed,82.5
Australia,2012,Developed,82.3
Australia,2011,Developed,82.0
Australia,2010,Developed,81.9
Australia,2009,Developed,81.7
Australia,2008,Developed,81.3
Australia,2007,Developed,81.3
Australia,2006,Developed,81.2
Australia,2005,Developed,81.0
Australia,2004,Developed,86.0
Australia,2003,Developed,83.0
Australia,2002,Developed,79.9
Australia,2001,Developed,79.9
Austria,2014,Developed,81.4
Austria,2013,Developed,81.1
Austria,2012,Developed,88.0
Austria,2011,Developed,88.0
Austria,2010,Developed,84.0
Austria,2009,Developed,82.0
Austria,2008,Developed,84.0
Austria,2007,Developed,81.0
Austria,2006,Developed,79.8
Austria,2005,Developed,79.4
Austria,2004,Developed,79.3
Austria,2003,Developed,78.8
Austria,2002,Developed,78.7
Austria,2001,Developed,78.6
Austria,2000,Developed,78.1
Azerbaijan,2014,Developing,72.5
Azerbaijan,2013,Developing,72.2
Azerbaijan,2012,Developing,71.9
Azerbaijan,2011,Developing,71.6
Azerbaijan,2010,Developing,71.1
Azerbaijan,2009,Developing,78.0
Azerbaijan,2008,Developing,73.0
Azerbaijan,2007,Developing,73.0
Azerbaijan,2006,Developing,69.2
