Country,Year,GDP,Population
Afghanistan,2015,584.3,33736494.0
Afghanistan,2014,612.7,327582.0
Afghanistan,2013,631.7,31731688.0
Afghanistan,2012,670.0,3696958.0
Afghanistan,2011,63.5,2978599.0
Afghanistan,2010,553.3,2883167.0
Afghanistan,2009,445.9,284331.0
Afghanistan,2008,373.4,2729431.0
Afghanistan,2007,369.8,26616792.0
Afghanistan,2006,272.6,2589345.0
Afghanistan,2005,25.3,257798.0
Afghanistan,2004,219.1,24118979.0
Afghanistan,2003,198.7,2364851.0
Afghanistan,2002,187.8,21979923.0
Afghanistan,2001,117.5,2966463.0
Afghanistan,2000,114.6,293756.0
Albania,2015,3954.2,28873.0
Albania,2014,4575.8,288914.0
Albania,2013,4414.7,289592.0
Albania,2012,4247.6,2941.0
Albania,2011,4437.2,295195.0
Albania,2010,494.4,291321.0
Albania,2009,4114.1,2927519.0
Albania,2008,437.5,2947314.0
Albania,2007,363.1,29717.0
Albania,2006,35.1,2992547.0
Albania,2005,279.1,311487.0
Albania,2004,2416.6,326939.0
Albania,2003,189.7,339616.0
Albania,2002,1453.6,3511.0
Albania,2001,1327.0,36173.0
Albania,2000,1175.8,38927.0
Algeria,2014,547.9,39113313.0
Algeria,2013,5471.9,38338562.0
Algeria,2012,5564.8,37565847.0
Algeria,2011,5432.3,36819558.0
Algeria,2010,4463.4,36117637.0
Algeria,2009,3868.8,3546576.0
Algeria,2008,495.3,3486715.0
Algeria,2007,3935.2,34376.0
Algeria,2006,3464.6,33777915.0
Algeria,2005,31.1,33288437.0
Algeria,2004,2599.0,3283196.0
Angola,2014,479.3,2692466.0
Angola,2013,484.6,2599834.0
Angola,2012,4598.2,259615.0
Angola,2011,4299.1,24218565.0
Angola,2010,3529.5,23369131.0
Angola,2009,3347.8,22549547.0
Angola,2008,3868.6,2175942.0
Angola,2007,2878.8,2997687.0
Argentina,2014,12245.3,42981515.0
Argentina,2013,12976.6,42539925.0
Argentina,2012,12969.8,4296739.0
Argentina,2011,12727.0,41656879.0
Argentina,2010,1276.3,41223889.0
Argentina,2009,8161.4,479947.0
Argentina,2008,8953.4,4382389.0
Argentina,2007,7193.6,3997224.0
Argentina,2006,5878.8,3955889.0
Argentina,2005,576.9,39145488.0
Argentina,2004,4251.6,38728696.0
Argentina,2003,333.4,3839379.0
Argentina,2002,2579.2,3788937.0
Armenia,2014,3994.7,29622.0
Armenia,2013,3843.6,289359.0
Armenia,2012,3684.8,2881922.0
Armenia,2011,3527.0,2875581.0
Armenia,2010,3218.4,2877311.0
Armenia,2009,2993.8,2888584.0
Armenia,2008,41.3,29822.0
Armenia,2007,3138.9,293356.0
Armenia,2006,2158.3,29585.0
Armenia,2005,1643.8,2981259.0
Armenia,2004,1192.0,3612.0
Armenia,2003,93.2,31786.0
Armenia,2002,783.3,333897.0
Armenia,2001,694.4,35655.0
Armenia,2000,622.7,369588.0
Australia,2014,62214.7,2346694.0
Australia,2013,67792.3,23117353.0
Australia,2012,67677.6,22728254.0
Australia,2011,62245.1,223424.0
Australia,2010,51874.8,223175.0
Australia,2009,42743.0,216917.0
Australia,2008,49664.7,212492.0
Australia,2007,4992.0,28276.0
Australia,2006,36118.3,26979.0
Australia,2005,3416.7,23948.0
Australia,2004,3472.4,21274.0
Australia,2003,23465.4,198954.0
Australia,2002,281.8,196514.0
Australia,2001,19517.8,19413.0
Austria,2014,51322.6,8541575.0
Austria,2013,554.7,8479375.0
Austria,2012,48333.6,8429991.0
Austria,2011,51126.7,8391643.0
Austria,2010,46657.6,836344.0
Austria,2009,47654.2,8343323.0
Austria,2008,51386.4,8321496.0
Austria,2007,46586.7,8295487.0
Austria,2006,444.0,8268641.0
Austria,2005,38242.4,8227829.0
Austria,2004,36693.4,8171966.0
Austria,2003,3212.9,8121423.0
Austria,2002,26351.4,881957.0
Austria,2001,24489.7,842293.0
Austria,2000,24517.3,811566.0
Azerbaijan,2014,7891.3,953579.0
Azerbaijan,2013,7875.8,941681.0
Azerbaijan,2012,7496.3,9295784.0
Azerbaijan,2011,7189.7,917382.0
Azerbaijan,2010,5842.9,954332.0
Azerbaijan,2009,495.3,8947243.0
Azerbaijan,2008,5574.6,87634.0
Azerbaijan,2007,3851.4,85813.0
Azerbaijan,2006,2473.9,848455.0
Azerbaijan,2005,1578.4,839185.0
Azerbaijan,2004,145.2,8365.0
Azerbaijan,2003,883.6,82341.0
Azerbaijan,2002,763.7,817195.0
Bangladesh,2014,184.6,15945279.0
Bangladesh,2013,951.9,157571292.0
Bangladesh,2012,856.3,15572753.0
Bangladesh,2011,835.8,153911916.0
Bangladesh,2010,757.7,15214912.0
Bangladesh,2009,681.1,1545478.0
Bangladesh,2008,615.8,14885814.0
Bangladesh,2007,541.7,147139191.0
Bangladesh,2006,494.5,1453684.0
Bangladesh,2005,484.2,14343111.0
Bangladesh,2004,46.8,14137489.0
Bangladesh,2003,432.7,139191.0
Belarus,2014,8318.4,9474511.0
Belarus,2013,7978.8,9465997.0
Belarus,2012,694.2,9464495.0
Belarus,2011,6519.7,9473172.0
Belarus,2010,63.4,949583.0
Belarus,2009,5176.2,956765.0
Belarus,2008,6376.2,9527985.0
Belarus,2007,4735.5,956953.0
Belarus,2006,3848.2,964924.0
Belarus,2005,3126.7,9663915.0
Belarus,2004,2378.3,973146.0
Belarus,2003,1819.5,9796749.0
Belarus,2002,1479.4,9865548.0
Belarus,2001,1244.4,9928549.0
Belarus,2000,1276.3,997961.0
Belgium,2014,47439.4,112957.0
Belgium,2013,4651.4,11182817.0
Belgium,2012,4474.6,11128246.0
Belgium,2011,4772.8,1147744.0
Belgium,2010,4438.2,1895586.0
Belgium,2009,4488.6,1796493.0
Belgium,2008,48424.6,179973.0
Belgium,2007,4443.8,16257.0
Belgium,2006,38852.4,1547958.0
Belgium,2005,36967.3,1478617.0
Belgium,2004,35589.7,1421137.0
Belgium,2003,3744.0,1376133.0
Belgium,2002,2552.3,1332785.0
Belgium,2001,23121.6,128657.0
Belgium,2000,2327.5,125125.0
Belize,2014,4852.2,351694.0
Belize,2013,4688.5,344181.0
Belize,2012,4673.6,33671.0
Belize,2011,4516.2,329192.0
Belize,2010,4344.2,32168.0
Belize,2009,4258.8,313929.0
Belize,2008,447.2,36165.0
Belize,2007,4324.9,29847.0
Belize,2006,4187.4,29747.0
Belize,2005,3933.3,283277.0
Belize,2004,3831.5,27689.0
Belize,2003,3680.0,26913.0
Belize,2002,3556.6,26226.0
Belize,2001,3419.3,254984.0
Belize,2000,3364.4,247315.0
Benin,2014,943.7,1286712.0
Benin,2013,915.3,14451.0
Benin,2012,838.0,972916.0
Benin,2011,825.9,94682.0
Benin,2010,757.7,9199259.0
Benin,2009,793.5,894476.0
Benin,2008,82.2,8696916.0
Benin,2007,76.5,8454791.0
Benin,2006,625.8,8216896.0
Benin,2005,61.8,7982225.0
Benin,2004,583.5,7754.0
Benin,2003,519.3,752555.0
Benin,2002,418.7,7295394.0
Bhutan,2014,2522.8,776448.0
Bhutan,2013,235.9,764961.0
Bhutan,2012,2422.8,752967.0
Bhutan,2011,2458.5,7451.0
Bhutan,2010,2178.9,727641.0
Bhutan,2009,177.2,714458.0
Bhutan,2008,1795.2,795.0
Bhutan,2007,1741.1,686958.0
Bhutan,2006,1335.5,672228.0
Bhutan,2005,1247.6,656639.0
Bhutan,2004,197.5,64282.0
Bhutan,2003,997.7,623434.0
Bhutan,2002,885.6,66399.0
Bhutan,2001,87.9,5896.0
Bhutan,2000,765.9,573416.0
Bosnia and Herzegovina,2014,5193.9,35662.0
Bosnia and Herzegovina,2013,535.9,364999.0
Bosnia and Herzegovina,2012,4716.7,36482.0
Bosnia and Herzegovina,2011,55.2,3688865.0
Bosnia and Herzegovina,2010,4611.5,372284.0
Bosnia and Herzegovina,2009,4697.9,3746561.0
Bosnia and Herzegovina,2008,575.3,3763599.0
Bosnia and Herzegovina,2007,418.3,3774.0
Bosnia and Herzegovina,2006,344.3,3779468.0
Bosnia and Herzegovina,2005,2968.4,378153.0
Bosnia and Herzegovina,2004,265.6,3781287.0
Botswana,2014,7497.8,2168573.0
Botswana,2013,77.6,212857.0
Botswana,2012,729.2,289315.0
Botswana,2011,7645.2,251339.0
Botswana,2010,6346.2,214866.0
Botswana,2009,5185.7,1979882.0
Botswana,2008,5623.4,1946351.0
Botswana,2007,5714.5,1914414.0
Botswana,2006,5374.6,1884238.0
Botswana,2005,5351.3,1855852.0
Botswana,2004,4896.6,182933.0
