Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-01-02,158.779999,160.729996,158.330002,160.619995,159.737595,22622100,MSFT
2020-01-03,158.320007,159.949997,158.059998,158.619995,157.748581,21116200,MSFT
2020-01-06,157.080002,159.100006,156.509995,159.029999,158.156342,20813700,MSFT
2020-01-07,159.320007,159.669998,157.320007,157.580002,156.714310,21634100,MSFT
2020-01-08,158.929993,160.800003,157.949997,160.089996,159.210495,27746500,MSFT
2020-01-09,161.839996,162.220001,161.029999,162.089996,161.199509,21385000,MSFT
2020-01-10,162.820007,163.220001,161.179993,161.339996,160.453644,20725900,MSFT
2020-01-13,161.759995,163.309998,161.259995,163.279999,162.382980,21626500,MSFT
2020-01-14,163.389999,163.600006,161.720001,162.130005,161.239304,23477400,MSFT
2020-01-15,162.619995,163.940002,162.570007,163.179993,162.283539,21417900,MSFT
2020-01-16,164.350006,166.240005,164.029999,166.169998,165.257111,23865400,MSFT
2020-01-17,167.419998,167.470001,165.429993,167.100006,166.182007,34371700,MSFT
2020-01-21,166.679993,168.190002,166.429993,166.500000,165.585297,29517200,MSFT
2020-01-22,167.399994,167.490005,165.679993,165.699997,164.789688,24138800,MSFT
2020-01-23,166.190002,166.800003,165.270004,166.720001,165.804092,19680800,MSFT
2020-01-24,167.509995,167.529999,164.449997,165.039993,164.133316,24918100,MSFT
2020-01-27,161.149994,163.380005,160.199997,162.279999,161.388474,32078100,MSFT
2020-01-28,163.779999,165.759995,163.070007,165.460007,164.551025,24899900,MSFT
2020-01-29,167.839996,168.750000,165.690002,168.039993,167.116821,34754500,MSFT
2020-01-30,174.050003,174.050003,170.789993,172.779999,171.830795,51597500,MSFT
2020-01-31,172.210007,172.399994,169.580002,170.229996,169.294800,36142700,MSFT
2020-02-03,170.429993,174.500000,170.399994,174.380005,173.422012,30107000,MSFT
2020-02-04,177.139999,180.639999,176.309998,180.119995,179.130478,36433300,MSFT
2020-02-05,184.029999,184.199997,178.410004,179.899994,178.911682,39186300,MSFT
2020-02-06,180.970001,183.820007,180.059998,183.630005,182.621201,27751400,MSFT
2020-02-07,182.850006,185.630005,182.479996,183.889999,182.879761,33529100,MSFT
2020-02-10,183.580002,188.839996,183.250000,188.699997,187.663330,35844300,MSFT
2020-02-11,190.649994,190.699997,183.500000,184.440002,183.426743,53159900,MSFT
2020-02-12,185.580002,185.850006,181.850006,184.710007,183.695251,47062900,MSFT
2020-02-13,183.080002,186.229996,182.869995,183.710007,182.700760,35295800,MSFT
2020-02-14,183.250000,185.410004,182.649994,185.350006,184.331741,23149500,MSFT
2020-02-18,185.610001,187.699997,185.500000,187.229996,186.201416,27792200,MSFT
2020-02-19,188.059998,188.179993,186.470001,187.279999,186.759857,29997500,MSFT
2020-02-20,186.949997,187.250000,181.100006,184.419998,183.907806,36862400,MSFT
2020-02-21,183.169998,183.500000,177.250000,178.589996,178.093994,48572600,MSFT
2020-02-24,167.770004,174.550003,163.229996,170.889999,170.415375,68311100,MSFT
2020-02-25,174.199997,174.839996,167.649994,168.070007,167.603226,68073300,MSFT
2020-02-26,169.710007,173.259995,168.210007,170.169998,169.697372,56206100,MSFT
2020-02-27,163.320007,167.029999,157.979996,158.179993,157.740677,93033600,MSFT
2020-02-28,152.410004,163.710007,152.000000,162.009995,161.560043,97073600,MSFT
2020-03-02,165.309998,172.919998,162.309998,172.789993,172.310104,71030800,MSFT
2020-03-03,173.800003,175.000000,162.259995,164.509995,164.053101,71677000,MSFT
2020-03-04,168.490005,170.699997,165.619995,170.550003,170.076324,49814400,MSFT
2020-03-05,166.050003,170.869995,165.690002,166.270004,165.808212,47817300,MSFT
2020-03-06,162.610001,163.110001,156.000000,161.570007,161.121277,72821100,MSFT
2020-03-09,151.000000,157.750000,150.000000,150.619995,150.201675,70419300,MSFT
2020-03-10,158.160004,161.029999,152.580002,160.919998,160.473068,65354400,MSFT
2020-03-11,157.130005,157.699997,151.149994,153.630005,153.203323,56371600,MSFT
2020-03-12,145.300003,153.470001,138.580002,139.059998,138.673782,93226400,MSFT
2020-03-13,147.500000,161.910004,140.729996,158.830002,158.388870,92727400,MSFT
2020-03-16,140.000000,149.350006,135.000000,135.419998,135.043884,87905900,MSFT
2020-03-17,140.000000,147.500000,135.000000,146.570007,146.162933,81059800,MSFT
2020-03-18,138.000000,146.000000,135.020004,140.399994,140.010056,81593200,MSFT
2020-03-19,142.770004,150.149994,139.000000,142.710007,142.313660,85922700,MSFT
2020-03-20,146.000000,147.100006,135.860001,137.350006,136.968536,84866200,MSFT
2020-03-23,137.009995,140.570007,132.520004,135.979996,135.602341,78975200,MSFT
2020-03-24,143.750000,149.600006,141.270004,148.339996,147.928009,82516700,MSFT
2020-03-25,148.910004,154.330002,144.440002,146.919998,146.511948,75638200,MSFT
2020-03-26,148.399994,156.660004,148.369995,156.110001,155.676437,64568100,MSFT
2020-03-27,151.750000,154.889999,149.199997,149.699997,149.284225,57042300,MSFT
2020-03-30,152.440002,160.600006,150.009995,160.229996,159.784988,63420300,MSFT
2020-03-31,159.399994,164.779999,156.559998,157.710007,157.271988,77927200,MSFT
2020-04-01,153.000000,157.750000,150.820007,152.110001,151.687546,57969900,MSFT
2020-04-02,151.860001,155.479996,150.360001,155.259995,154.828781,49630700,MSFT
2020-04-03,155.100006,157.380005,152.190002,153.830002,153.402771,41243300,MSFT
2020-04-06,160.320007,166.500000,157.580002,165.270004,164.810989,67111700,MSFT
2020-04-07,169.589996,170.000000,163.259995,163.490005,163.035934,62769000,MSFT
2020-04-08,165.669998,166.669998,163.500000,165.130005,164.671387,48318200,MSFT
2020-04-09,166.360001,167.369995,163.330002,165.139999,164.681351,51431800,MSFT
2020-04-13,164.350006,165.570007,162.300003,165.509995,165.050323,41905300,MSFT
2020-04-14,169.000000,173.750000,168.000000,173.699997,173.217575,52874300,MSFT
2020-04-15,171.199997,173.570007,169.240005,171.880005,171.402634,40940800,MSFT
2020-04-16,174.300003,177.279999,172.899994,177.039993,176.548294,50479600,MSFT
2020-04-17,179.500000,180.000000,175.869995,178.600006,178.103973,52765600,MSFT
2020-04-20,176.630005,178.750000,174.990005,175.059998,174.573792,36669600,MSFT
2020-04-21,173.500000,173.669998,166.110001,167.820007,167.353912,56203700,MSFT
2020-04-22,171.389999,174.000000,170.820007,173.520004,173.038086,34651600,MSFT
2020-04-23,174.110001,175.059998,170.910004,171.419998,170.943909,32790800,MSFT
2020-04-24,172.059998,174.559998,170.710007,174.550003,174.065216,34305300,MSFT
2020-04-27,176.589996,176.899994,173.300003,174.050003,173.566605,33194400,MSFT
2020-04-28,175.589996,175.669998,169.389999,169.809998,169.338379,34392700,MSFT
2020-04-29,173.220001,177.679993,171.880005,177.429993,176.937210,51286600,MSFT
2020-04-30,180.000000,180.399994,176.229996,179.210007,178.712280,53661300,MSFT
2020-05-01,175.800003,178.639999,174.009995,174.570007,174.085175,39370500,MSFT
2020-05-04,174.490005,179.000000,173.800003,178.839996,178.343292,30372900,MSFT
2020-05-05,180.619995,183.649994,179.899994,180.759995,180.257965,36839200,MSFT
2020-05-06,182.080002,184.199997,181.630005,182.539993,182.033020,32139300,MSFT
2020-05-07,184.169998,184.550003,182.580002,183.600006,183.090088,28316000,MSFT
2020-05-08,184.979996,185.000000,183.360001,184.679993,184.167068,30912600,MSFT
2020-05-11,183.149994,187.509995,182.850006,186.740005,186.221359,30892700,MSFT
2020-05-12,186.800003,187.039993,182.300003,182.509995,182.003098,32038200,MSFT
2020-05-13,182.550003,184.050003,176.539993,179.750000,179.250778,44711500,MSFT
2020-05-14,177.539993,180.690002,175.679993,180.529999,180.028610,41873900,MSFT
2020-05-15,179.059998,187.059998,177.000000,183.160004,182.651306,46610400,MSFT
2020-05-18,185.750000,186.199997,183.960007,184.910004,184.396439,35306600,MSFT
2020-05-19,185.029999,186.600006,183.490005,183.630005,183.119995,26799100,MSFT
2020-05-20,184.809998,185.850006,183.940002,185.660004,185.660004,31261300,MSFT
2020-05-21,185.399994,186.669998,183.289993,183.429993,183.429993,29119500,MSFT
2020-05-22,183.190002,184.460007,182.539993,183.509995,183.509995,20826900,MSFT
2020-05-26,186.339996,186.500000,181.100006,181.570007,181.570007,36073600,MSFT
2020-05-27,180.199997,181.990005,176.600006,181.809998,181.809998,39517100,MSFT
2020-05-28,180.740005,184.149994,180.380005,181.399994,181.399994,33810200,MSFT
2020-05-29,182.729996,184.270004,180.410004,183.250000,183.250000,42146700,MSFT
2020-06-01,182.539993,183.000000,181.460007,182.830002,182.830002,22622400,MSFT
2020-06-02,184.250000,185.000000,181.350006,184.910004,184.910004,30794600,MSFT
2020-06-03,184.820007,185.940002,183.580002,185.360001,185.360001,27311000,MSFT
2020-06-04,184.300003,185.839996,182.300003,182.919998,182.919998,28761800,MSFT
2020-06-05,182.619995,187.729996,182.009995,187.199997,187.199997,39893600,MSFT
2020-06-08,185.940002,188.550003,184.440002,188.360001,188.360001,33211600,MSFT
2020-06-09,188.000000,190.699997,187.259995,189.800003,189.800003,29783900,MSFT
2020-06-10,191.130005,198.520004,191.009995,196.839996,196.839996,43872300,MSFT
2020-06-11,193.130005,195.759995,186.070007,186.270004,186.270004,52854700,MSFT
2020-06-12,190.539993,191.720001,185.179993,187.740005,187.740005,43345700,MSFT
2020-06-15,184.580002,190.820007,184.009995,188.940002,188.940002,32770200,MSFT
2020-06-16,192.889999,195.580002,191.460007,193.570007,193.570007,42556700,MSFT
2020-06-17,195.029999,196.320007,193.690002,194.240005,194.240005,25655900,MSFT
2020-06-18,194.000000,196.490005,194.000000,196.320007,196.320007,23061600,MSFT
2020-06-19,198.589996,199.289993,194.369995,195.149994,195.149994,44441100,MSFT
2020-06-22,195.789993,200.759995,195.229996,200.570007,200.570007,32818900,MSFT
2020-06-23,202.089996,203.949997,201.429993,201.910004,201.910004,30917400,MSFT
2020-06-24,201.600006,203.250000,196.559998,197.839996,197.839996,36740600,MSFT
2020-06-25,197.800003,200.610001,195.470001,200.339996,200.339996,27803900,MSFT
2020-06-26,199.729996,199.889999,194.880005,196.330002,196.330002,54675800,MSFT
2020-06-29,195.779999,198.529999,193.550003,198.440002,198.440002,26701600,MSFT
2020-06-30,197.880005,204.399994,197.740005,203.509995,203.509995,34310300,MSFT
2020-07-01,203.139999,206.350006,201.770004,204.699997,204.699997,32061200,MSFT
2020-07-02,205.679993,208.020004,205.000000,206.259995,206.259995,29315800,MSFT
2020-07-06,208.830002,211.130005,208.089996,210.699997,210.699997,31897600,MSFT
2020-07-07,210.449997,214.669998,207.990005,208.250000,208.250000,33600700,MSFT
2020-07-08,210.070007,213.259995,208.690002,212.830002,212.830002,33600000,MSFT
2020-07-09,216.330002,216.380005,211.470001,214.320007,214.320007,33121700,MSFT
2020-07-10,213.619995,214.080002,211.080002,213.669998,213.669998,26177600,MSFT
2020-07-13,214.479996,215.800003,206.500000,207.070007,207.070007,38135600,MSFT
2020-07-14,206.130005,208.850006,202.029999,208.350006,208.350006,37591800,MSFT
2020-07-15,209.559998,211.330002,205.029999,208.039993,208.039993,32179400,MSFT
2020-07-16,205.399994,205.699997,202.309998,203.919998,203.919998,29940700,MSFT
2020-07-17,204.470001,205.039993,201.389999,202.880005,202.880005,31635300,MSFT
2020-07-20,205.000000,212.300003,203.009995,211.600006,211.600006,36884800,MSFT
2020-07-21,213.660004,213.940002,208.029999,208.750000,208.750000,38105800,MSFT
2020-07-22,209.199997,212.300003,208.389999,211.750000,211.750000,49605700,MSFT
2020-07-23,207.190002,210.919998,202.149994,202.539993,202.539993,67457000,MSFT
2020-07-24,200.419998,202.860001,197.509995,201.300003,201.300003,39827000,MSFT
2020-07-27,201.470001,203.970001,200.860001,203.850006,203.850006,30160900,MSFT
2020-07-28,203.610001,204.699997,201.740005,202.020004,202.020004,23251400,MSFT
2020-07-29,202.500000,204.649994,202.009995,204.059998,204.059998,19632600,MSFT
2020-07-30,201.000000,204.460007,199.570007,203.899994,203.899994,25079600,MSFT
